datasource,language,model,n,m,chisq,d,p,cfi,gfi,agfi,srmr,mcsc,rmsea,rmsea_l,rmsea_u,gdiff,PAQ1,PAQ2,PAQ3,PAQ4,PAQ5,PAQ6,PAQ7,PAQ8
SATP,pol,circumplex,918,3,1433.46096420465,24,3.486365814996976e-288,0.764,0.723,0.585,0.191,-0.973,0.253,0.242,0.264,,,,,,,,,
SATP,spa,unconstrained,1647,3,117.43888260096062,10,1.6728961601828084e-20,0.987,0.984,0.942,0.035,-0.984,0.081,0.068,0.094,10.13,0.0,37.0,102.0,147.0,172.0,235.0,277.0,331.0
SATP,spa,equal_ang,1647,3,489.91853953060576,17,2.5118768804031e-93,0.942,0.933,0.858,0.109,-0.983,0.13,0.12,0.14,,,,,,,,,
SATP,spa,equal_com,1647,3,671.283195056493,17,1.0948761510756927e-131,0.92,0.91,0.809,0.063,-0.974,0.153,0.143,0.163,10.63,0.0,41.0,103.0,147.0,174.0,238.0,279.0,332.0
SATP,spa,circumplex,1647,3,1049.9852694728133,24,2.1296272574039072e-206,0.875,0.865,0.797,0.132,-0.991,0.161,0.153,0.17,,,,,,,,,
SATP,swe,unconstrained,945,3,63.543317866845314,10,7.692142958969306e-10,0.99,0.986,0.95,0.016,-0.94,0.075,0.058,0.094,14.86,0.0,67.0,90.0,149.0,174.0,248.0,279.0,336.0
SATP,swe,equal_ang,945,3,683.6416625872382,17,2.6001605352619436e-134,0.878,0.85,0.682,0.134,-0.919,0.204,0.191,0.217,,,,,,,,,
SATP,swe,equal_com,945,3,326.09444724669504,17,4.518198358655062e-59,0.944,0.924,0.839,0.053,-0.946,0.139,0.126,0.152,14.13,0.0,66.0,87.0,146.0,175.0,249.0,275.0,335.0
SATP,swe,circumplex,945,3,893.0013353906841,24,4.4148870054232745e-173,0.841,0.813,0.719,0.142,-0.928,0.196,0.185,0.207,,,,,,,,,
SATP,tha,unconstrained,675,3,41.853429702149526,10,7.962595460159543e-06,0.993,0.988,0.957,0.03,-0.99,0.069,0.048,0.091,18.33,0.0,28.0,69.0,145.0,172.0,200.0,249.0,342.0
SATP,tha,equal_ang,675,3,609.9487018401793,17,1.1139874525305797e-118,0.878,0.82,0.619,0.25,-0.989,0.227,0.212,0.243,,,,,,,,,
SATP,tha,equal_com,675,3,288.2540039528763,17,2.97078626964885e-51,0.944,0.908,0.805,0.089,-0.991,0.154,0.139,0.17,18.08,0.0,27.0,76.0,150.0,173.0,197.0,256.0,344.0
SATP,tha,circumplex,675,3,1007.4110098620145,24,2.3759447693836975e-197,0.798,0.732,0.598,0.237,-1.0,0.247,0.234,0.26,,,,,,,,,
SATP,tur,unconstrained,918,3,107.18817296944395,10,1.966302291206505e-18,0.979,0.974,0.906,0.03,-0.905,0.103,0.086,0.121,18.08,0.0,52.0,101.0,111.0,158.0,255.0,292.0,316.0
SATP,tur,equal_ang,918,3,744.5704065388344,17,2.8958694825511885e-147,0.844,0.835,0.651,0.228,-0.867,0.216,0.203,0.229,,,,,,,,,
SATP,tur,equal_com,918,3,358.88688192933836,17,6.988753815310895e-66,0.927,0.915,0.82,0.079,-0.915,0.148,0.135,0.162,18.46,0.0,55.0,97.0,106.0,157.0,254.0,289.0,313.0
SATP,tur,circumplex,918,3,1057.3930759561122,24,5.665520562579668e-208,0.778,0.78,0.67,0.23,-0.834,0.217,0.206,0.228,,,,,,,,,
SATP,yue,unconstrained,1458,3,90.08836530093225,10,5.144125804590122e-15,0.991,0.986,0.95,0.031,-0.842,0.074,0.061,0.089,20.42,0.0,42.0,46.0,158.0,169.0,245.0,284.0,327.0
SATP,yue,equal_ang,1458,3,2682.5122830308615,17,0.0,0.699,0.686,0.335,0.241,-0.809,0.328,0.318,0.339,,,,,,,,,
SATP,yue,equal_com,1458,3,250.9263045035266,17,1.3497787918577717e-43,0.974,0.962,0.92,0.043,-0.833,0.097,0.087,0.108,21.01,0.0,39.0,43.0,159.0,168.0,240.0,282.0,329.0
SATP,yue,circumplex,1458,3,3184.365985243621,24,0.0,0.643,0.648,0.472,0.263,-0.743,0.301,0.292,0.309,,,,,,,,,
